Location,Provider.State,Total Medicare Beneficiaries
Alabama,AL,968010
Alaska,AK,83863
Arizona,AZ,1134774
Arkansas,AR,594596
California,CA,5644384
Colorado,CO,785398
Connecticut,CT,630333
Delaware,DE,180529
District of Columbia,DC,88421
Florida,FL,4024223
Georgia,GA,1519461
Hawaii,HI,244364
Idaho,ID,282024
Illinois,IL,2066376
Indiana,IN,1150553
Iowa,IA,571956
Kansas,KS,487086
Kentucky,KY,862887
Louisiana,LA,793159
Maine,ME,306420
Maryland,MD,930088
Massachusetts,MA,1218036
Michigan,MI,1895558
Minnesota,MN,912285
Mississippi,MS,560344
Missouri,MO,1136382
Montana,MT,201359
Nebraska,NE,313703
Nevada,NV,453032
New Hampshire,NH,266210
New Jersey,NJ,1492066
New Mexico,NM,372685
New York,NY,3343349
North Carolina,NC,1769074
North Dakota,ND,118883
Ohio,OH,2154337
Oklahoma,OK,678763
Oregon,OR,754402
Pennsylvania,PA,2533515
Rhode Island,RI,203289
South Carolina,SC,941169
South Dakota,SD,156127
Tennessee,TN,1235157
Texas,TX,3633785
Utah,UT,345340
Vermont,VT,131381
Virginia,VA,1349115
Washington,WA,1190127
West Virginia,WV,416820
Wisconsin,WI,1050020
Wyoming,WY,95055
